flow,region,fiscalProfileCompany,fiscalProfilePerson,fiscalProfileOperation,fiscalProfileProduct,taxationOperation,tax.ICMS.basePercentage,tax.ICMS.baseValue,tax.ICMS.compensationRate,tax.ICMS.taxRate,tax.ICMS.cst,ICMS_DIFAL.mod,ICMS_DIFAL.aux,tax.ICMS_DIFAL.baseValue,tax.ICMS_DIFAL.taxRate,Alíq. Interna,tax.ICMS_ST.iva,tax.ICMS_ST.icms,tax.ICMS_SN.compensationRate,tax.ICMS_SN.cst,tax.ICMS_SN.pCredSN,tax.IPI.grossBaseValueExpression,tax.IPI.compensationRate,tax.IPI.taxRate,tax.IPI.cst,tax.IPI.cEnq,tax.PIS.compensationRate,tax.PIS.baseValue,tax.PIS.taxRate,tax.PIS.cst,tax.COFINS.compensationRate,tax.COFINS.baseValue,tax.COFINS.taxRate,tax.COFINS.cst,properties.outgoingInvoiceComments
OUT,BR,Regime Normal SP,Consumidor AC,Venda,XXXXXXXX.0,6.108,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor AL,Venda,XXXXXXXX.0,6.108,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor AM,Venda,XXXXXXXX.0,6.108,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor AP,Venda,XXXXXXXX.0,6.108,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor BA,Venda,XXXXXXXX.0,6.108,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor CE,Venda,XXXXXXXX.0,6.108,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor DF,Venda,XXXXXXXX.0,6.108,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor ES,Venda,XXXXXXXX.0,6.108,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor GO,Venda,XXXXXXXX.0,6.108,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor MA,Venda,XXXXXXXX.0,6.108,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor MG,Venda,XXXXXXXX.0,6.108,,,,12,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor MT,Venda,XXXXXXXX.0,6.108,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor PA,Venda,XXXXXXXX.0,6.108,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor PB,Venda,XXXXXXXX.0,6.108,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor PE,Venda,XXXXXXXX.0,6.108,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor PI,Venda,XXXXXXXX.0,6.108,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor PR,Venda,XXXXXXXX.0,6.108,,,,12,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor RJ,Venda,XXXXXXXX.0,6.108,,,,12,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor RN,Venda,XXXXXXXX.0,6.108,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor RO,Venda,XXXXXXXX.0,6.108,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor RR,Venda,XXXXXXXX.0,6.108,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor RS,Venda,XXXXXXXX.0,6.108,,,,12,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor SC,Venda,XXXXXXXX.0,6.108,,,,17,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor SE,Venda,XXXXXXXX.0,6.108,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor SP,Venda,XXXXXXXX.0,5.102,,,,12,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Consumidor TO,Venda,XXXXXXXX.0,6.108,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Regime Normal AC,Venda,XXXXXXXX.0,6.102,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Regime Normal AL,Venda,XXXXXXXX.0,6.102,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Regime Normal AM,Venda,XXXXXXXX.0,6.102,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Regime Normal AP,Venda,XXXXXXXX.0,6.102,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Regime Normal BA,Venda,XXXXXXXX.0,6.102,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Regime Normal CE,Venda,XXXXXXXX.0,6.102,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Regime Normal DF,Venda,XXXXXXXX.0,6.102,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Regime Normal ES,Venda,XXXXXXXX.0,6.102,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Regime Normal GO,Venda,XXXXXXXX.0,6.102,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Regime Normal MA,Venda,XXXXXXXX.0,6.102,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Regime Normal MG,Venda,XXXXXXXX.0,6.102,,,,12,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Regime Normal MT,Venda,XXXXXXXX.0,6.102,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Regime Normal PA,Venda,XXXXXXXX.0,6.102,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Regime Normal PB,Venda,XXXXXXXX.0,6.102,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
OUT,BR,Regime Normal SP,Regime Normal PE,Venda,XXXXXXXX.0,6.102,,,,7,00,,,,,,,,,,,,,,51,999,,,"1,65",01,,,"7,6",01,
